customerID;timestamp;a;b;c;d;e
trace1;0;1;0;0;0;0
trace1;1;0;0;1;0;0
trace1;2;0;0;0;1;0
trace2;0;1;0;0;0;0
trace2;1;0;0;1;0;0
trace2;2;0;0;0;1;0
trace3;0;1;0;0;0;0
trace3;1;0;0;1;0;0
trace3;2;0;0;0;1;0
trace4;0;1;0;0;0;0
trace4;1;0;0;1;0;0
trace4;2;0;0;0;1;0
trace5;0;1;0;0;0;0
trace5;1;0;0;1;0;0
trace5;2;0;0;0;1;0
trace6;0;1;0;0;0;0
trace6;1;0;0;1;0;0
trace6;2;0;0;0;1;0
trace7;0;1;0;0;0;0
trace7;1;0;0;1;0;0
trace7;2;0;0;0;1;0
trace8;0;1;0;0;0;0
trace8;1;0;0;1;0;0
trace8;2;0;0;0;1;0
trace9;0;1;0;0;0;0
trace9;1;0;0;1;0;0
trace9;2;0;0;0;1;0
trace10;0;1;0;0;0;0
trace10;1;0;0;1;0;0
trace10;2;0;0;0;1;0
trace11;0;1;0;0;0;0
trace11;1;0;0;1;0;0
trace11;2;0;0;0;1;0
trace12;0;1;0;0;0;0
trace12;1;0;0;1;0;0
trace12;2;0;0;0;1;0
trace13;0;1;0;0;0;0
trace13;1;0;0;1;0;0
trace13;2;0;0;0;1;0
trace14;0;1;0;0;0;0
trace14;1;0;0;1;0;0
trace14;2;0;0;0;1;0
trace15;0;1;0;0;0;0
trace15;1;0;0;1;0;0
trace15;2;0;0;0;1;0
trace16;0;1;0;0;0;0
trace16;1;0;0;1;0;0
trace16;2;0;0;0;1;0
trace17;0;1;0;0;0;0
trace17;1;0;0;1;0;0
trace17;2;0;0;0;1;0
trace18;0;1;0;0;0;0
trace18;1;0;0;1;0;0
trace18;2;0;0;0;1;0
trace19;0;1;0;0;0;0
trace19;1;0;0;1;0;0
trace19;2;0;0;0;1;0
trace20;0;1;0;0;0;0
trace20;1;0;0;1;0;0
trace20;2;0;0;0;1;0
trace21;0;1;0;0;0;0
trace21;1;0;0;1;0;0
trace21;2;0;0;0;1;0
trace22;0;1;0;0;0;0
trace22;1;0;0;1;0;0
trace22;2;0;0;0;1;0
trace23;0;1;0;0;0;0
trace23;1;0;0;1;0;0
trace23;2;0;0;0;1;0
trace24;0;1;0;0;0;0
trace24;1;0;0;1;0;0
trace24;2;0;0;0;1;0
trace25;0;1;0;0;0;0
trace25;1;0;0;1;0;0
trace25;2;0;0;0;1;0
trace26;0;1;0;0;0;0
trace26;1;0;0;1;0;0
trace26;2;0;0;0;1;0
trace27;0;1;0;0;0;0
trace27;1;0;0;1;0;0
trace27;2;0;0;0;1;0
trace28;0;1;0;0;0;0
trace28;1;0;0;1;0;0
trace28;2;0;0;0;1;0
trace29;0;1;0;0;0;0
trace29;1;0;0;1;0;0
trace29;2;0;0;0;1;0
trace30;0;1;0;0;0;0
trace30;1;0;0;1;0;0
trace30;2;0;0;0;1;0
trace31;0;1;0;0;0;0
trace31;1;0;0;1;0;0
trace31;2;0;0;0;1;0
trace32;0;1;0;0;0;0
trace32;1;0;0;1;0;0
trace32;2;0;0;0;1;0
trace33;0;1;0;0;0;0
trace33;1;0;0;1;0;0
trace33;2;0;0;0;1;0
trace34;0;1;0;0;0;0
trace34;1;0;0;1;0;0
trace34;2;0;0;0;1;0
trace35;0;1;0;0;0;0
trace35;1;0;0;1;0;0
trace35;2;0;0;0;1;0
trace36;0;1;0;0;0;0
trace36;1;0;0;1;0;0
trace36;2;0;0;0;1;0
trace37;0;1;0;0;0;0
trace37;1;0;0;1;0;0
trace37;2;0;0;0;1;0
trace38;0;1;0;0;0;0
trace38;1;0;0;1;0;0
trace38;2;0;0;0;1;0
trace39;0;1;0;0;0;0
trace39;1;0;0;1;0;0
trace39;2;0;0;0;1;0
trace40;0;1;0;0;0;0
trace40;1;0;0;1;0;0
trace40;2;0;0;0;1;0
trace41;0;1;0;0;0;0
trace41;1;0;0;1;0;0
trace41;2;0;0;0;1;0
trace42;0;1;0;0;0;0
trace42;1;0;0;1;0;0
trace42;2;0;0;0;1;0
trace43;0;1;0;0;0;0
trace43;1;0;0;1;0;0
trace43;2;0;0;0;1;0
trace44;0;1;0;0;0;0
trace44;1;0;0;1;0;0
trace44;2;0;0;0;1;0
trace45;0;1;0;0;0;0
trace45;1;0;0;1;0;0
trace45;2;0;0;0;1;0
trace46;0;0;1;0;0;0
trace46;1;0;0;1;0;0
trace46;2;0;0;0;0;1
trace47;0;0;1;0;0;0
trace47;1;0;0;1;0;0
trace47;2;0;0;0;0;1
trace48;0;0;1;0;0;0
trace48;1;0;0;1;0;0
trace48;2;0;0;0;0;1
trace49;0;0;1;0;0;0
trace49;1;0;0;1;0;0
trace49;2;0;0;0;0;1
trace50;0;0;1;0;0;0
trace50;1;0;0;1;0;0
trace50;2;0;0;0;0;1
trace51;0;0;1;0;0;0
trace51;1;0;0;1;0;0
trace51;2;0;0;0;0;1
trace52;0;0;1;0;0;0
trace52;1;0;0;1;0;0
trace52;2;0;0;0;0;1
trace53;0;0;1;0;0;0
trace53;1;0;0;1;0;0
trace53;2;0;0;0;0;1
trace54;0;0;1;0;0;0
trace54;1;0;0;1;0;0
trace54;2;0;0;0;0;1
trace55;0;0;1;0;0;0
trace55;1;0;0;1;0;0
trace55;2;0;0;0;0;1
trace56;0;0;1;0;0;0
trace56;1;0;0;1;0;0
trace56;2;0;0;0;0;1
trace57;0;0;1;0;0;0
trace57;1;0;0;1;0;0
trace57;2;0;0;0;0;1
trace58;0;0;1;0;0;0
trace58;1;0;0;1;0;0
trace58;2;0;0;0;0;1
trace59;0;0;1;0;0;0
trace59;1;0;0;1;0;0
trace59;2;0;0;0;0;1
trace60;0;0;1;0;0;0
trace60;1;0;0;1;0;0
trace60;2;0;0;0;0;1
trace61;0;0;1;0;0;0
trace61;1;0;0;1;0;0
trace61;2;0;0;0;0;1
trace62;0;0;1;0;0;0
trace62;1;0;0;1;0;0
trace62;2;0;0;0;0;1
trace63;0;0;1;0;0;0
trace63;1;0;0;1;0;0
trace63;2;0;0;0;0;1
trace64;0;0;1;0;0;0
trace64;1;0;0;1;0;0
trace64;2;0;0;0;0;1
trace65;0;0;1;0;0;0
trace65;1;0;0;1;0;0
trace65;2;0;0;0;0;1
trace66;0;0;1;0;0;0
trace66;1;0;0;1;0;0
trace66;2;0;0;0;0;1
trace67;0;0;1;0;0;0
trace67;1;0;0;1;0;0
trace67;2;0;0;0;0;1
trace68;0;0;1;0;0;0
trace68;1;0;0;1;0;0
trace68;2;0;0;0;0;1
trace69;0;0;1;0;0;0
trace69;1;0;0;1;0;0
trace69;2;0;0;0;0;1
trace70;0;0;1;0;0;0
trace70;1;0;0;1;0;0
trace70;2;0;0;0;0;1
trace71;0;0;1;0;0;0
trace71;1;0;0;1;0;0
trace71;2;0;0;0;0;1
trace72;0;0;1;0;0;0
trace72;1;0;0;1;0;0
trace72;2;0;0;0;0;1
trace73;0;0;1;0;0;0
trace73;1;0;0;1;0;0
trace73;2;0;0;0;0;1
trace74;0;0;1;0;0;0
trace74;1;0;0;1;0;0
trace74;2;0;0;0;0;1
trace75;0;0;1;0;0;0
trace75;1;0;0;1;0;0
trace75;2;0;0;0;0;1
trace76;0;0;1;0;0;0
trace76;1;0;0;1;0;0
trace76;2;0;0;0;0;1
trace77;0;0;1;0;0;0
trace77;1;0;0;1;0;0
trace77;2;0;0;0;0;1
trace78;0;0;1;0;0;0
trace78;1;0;0;1;0;0
trace78;2;0;0;0;0;1
trace79;0;0;1;0;0;0
trace79;1;0;0;1;0;0
trace79;2;0;0;0;0;1
trace80;0;0;1;0;0;0
trace80;1;0;0;1;0;0
trace80;2;0;0;0;0;1
trace81;0;0;1;0;0;0
trace81;1;0;0;1;0;0
trace81;2;0;0;0;0;1
trace82;0;0;1;0;0;0
trace82;1;0;0;1;0;0
trace82;2;0;0;0;0;1
trace83;0;0;1;0;0;0
trace83;1;0;0;1;0;0
trace83;2;0;0;0;0;1
trace84;0;0;1;0;0;0
trace84;1;0;0;1;0;0
trace84;2;0;0;0;0;1
trace85;0;0;1;0;0;0
trace85;1;0;0;1;0;0
trace85;2;0;0;0;0;1
trace86;0;0;1;0;0;0
trace86;1;0;0;1;0;0
trace86;2;0;0;0;0;1
trace87;0;0;1;0;0;0
trace87;1;0;0;1;0;0
trace87;2;0;0;0;0;1
